Rank,Name,Symbol,Price,24h%Change,MarketCap
105,THORChain,RUNE,$1.66306,-4.34%,$584.51M
106,Flow,FLOW,$0.36233,-3.19%,$574.61M
107,Onyxcoin,XCN,$0.01694,-0.25%,$567.66M
108,Jito,JTO,$1.66689,-1.57%,$557.29M
109,Decentraland,MANA,$0.27399,-1.78%,$539.69M
110,Brett (Based),BRETT,$0.05141,-11.72%,$509.50M
111,AB,AB,$0.00823,7.96%,$501.01M
112,TrueUSD,TUSD,$0.99862,0.02%,$494.83M
113,Zebec Network,ZBCN,$0.00603,-9.73%,$477.11M
114,KAITO,KAITO,$1.91497,-4.35%,$462.25M
115,DeepBook Protocol,DEEP,$0.14585,-5.93%,$459.57M
116,ApeCoin,APE,$0.60679,-11.05%,$456.70M
117,Kava,KAVA,$0.41945,3.91%,$454.20M
118,Dog (Bitcoin),DOG,$0.00448,1.95%,$447.80M
119,Grass,GRASS,$1.81504,-5.53%,$442.70M
120,Aethir,ATH,$0.04819,-9.33%,$437.76M
121,MultiversX,EGLD,$15.18078,-6.04%,$429.20M
122,Aerodrome Finance,AERO,$0.51929,-2.98%,$429.10M
123,AIOZ Network,AIOZ,$0.35965,-7.75%,$424.29M
124,APENFT,NFT,$0,-0.72%,$423.22M
125,Arweave,AR,$6.38264,-7.83%,$419.04M
126,dYdX,DYDX,$0.53657,-7.10%,$416.75M
127,Starknet,STRK,$0.13286,-6.56%,$412.92M
128,Neo,NEO,$5.84324,-5.53%,$412.18M
129,Reserve Rights,RSR,$0.00711,-4.04%,$409.51M
130,Axie Infinity,AXS,$2.53344,-4.68%,$409.41M
131,eCash,XEC,$0.00002,-2.44%,$408.37M
132,EigenLayer,EIGEN,$1.30521,-13.47%,$397.02M
133,Livepeer,LPT,$9.6342,-24.62%,$395.46M
134,SuperVerse,SUPER,$0.66737,-4.65%,$394.91M
135,Ronin,RON,$0.59851,-4.56%,$391.57M
136,Maple Finance,SYRUP,$0.35029,-2.64%,$388.46M
137,USDD,USDD,$1.00036,-0.09%,$382.71M
138,Conflux,CFX,$0.07517,-6.55%,$381.48M
139,Chiliz,CHZ,$0.03872,-3.64%,$372.92M
140,Compound,COMP,$40.8246,-1.36%,$370.81M
141,ether.fi,ETHFI,$1.11726,-10.16%,$366.24M
142,Mog Coin,MOG,$0,-8.00%,$365.70M
143,FTX Token,FTT,$1.10332,-7.80%,$362.88M
144,Sun [New],SUN,$0.01877,-2.29%,$361.60M
145,Morpho,MORPHO,$1.3106,-2.52%,$359.80M
146,Popcat (SOL),POPCAT,$0.36464,-5.27%,$357.33M
147,Wormhole,W,$0.0773,-12.84%,$355.95M
148,Movement,MOVE,$0.1371,-8.35%,$349.62M
149,Amp,AMP,$0.00417,3.21%,$351.20M
150,Gnosis,GNO,$128.33234,-3.77%,$338.59M
151,Trust Wallet Token,TWT,$0.77892,-4.32%,$324.54M
152,JUST,JST,$0.03264,-3.57%,$323.17M
153,Beam,BEAM,$0.00636,-5.79%,$314.83M
154,Terra Classic,LUNC,$0.00006,-2.56%,$313.72M
155,Akash Network,AKT,$1.2607,-6.09%,$313.01M
156,MANTRA,OM,$0.315,-6.39%,$305.18M
157,Axelar,AXL,$0.3102,-5.45%,$302.72M
158,Safe,SAFE,$0.50754,-15.65%,$301.30M
159,cat in a dogs world,MEW,$0.00329,-1.97%,$292.23M
160,Turbo,TURBO,$0.0042,-8.75%,$289.57M
161,1inch Network,1INCH,$0.20722,-6.32%,$287.50M
162,Cheems (cheems.pet),CHEEMS,$0,-1.96%,$277.86M
163,Creditcoin,CTC,$0.61097,-2.89%,$277.64M
164,Berachain,BERA,$2.25001,-8.95%,$269.56M
165,Dash,DASH,$21.81712,-3.41%,$267.96M
166,Convex Finance,CVX,$2.75322,-9.57%,$268.22M
167,Kusama,KSM,$16.13412,-4.18%,$267.34M
168,Mina,MINA,$0.21184,-6.95%,$261.47M
169,Peanut the Squirrel,PNUT,$0.25261,-7.23%,$252.57M
170,Frax (prev. FXS),FRAX,$2.75156,-6.56%,$249.72M
171,LayerZero,ZRO,$2.2434,-8.02%,$246.77M
172,MX Token,MX,$2.59684,-2.28%,$244.91M
173,SafePal,SFP,$0.48259,-7.41%,$241.30M
174,Decred,DCR,$14.33311,-3.43%,$241.15M
175,ai16z,AI16Z,$0.21918,-10.90%,$241.10M
176,NEXPACE,NXPC,$1.35249,-13.06%,$234.38M
177,Golem,GLM,$0.23373,-2.96%,$233.73M
178,Theta Fuel,TFUEL,$0.03346,-5.29%,$232.76M
179,Synthetix,SNX,$0.67382,-5.41%,$231.43M
