Rank,Name,Symbol,Price,24h%Change,MarketCap
107,Onyxcoin,XCN,$0.01706,0.93%,$571.99M
108,Jito,JTO,$1.66,-1.54%,$558.18M
109,Decentraland,MANA,$0.2734,-2.11%,$538.59M
110,Brett (Based),BRETT,$0.05153,-11.47%,$510.69M
111,AB,AB,$0.008229,7.32%,$500.79M
112,TrueUSD,TUSD,$0.9985,0.02%,$494.79M
113,Zebec Network,ZBCN,$0.006017,-9.93%,$476.5M
114,KAITO,KAITO,$1.91,-4.95%,$461.8M
115,DeepBook Protocol,DEEP,$0.1460,-5.58%,$460.13M
116,ApeCoin,APE,$0.6087,-10.90%,$458.18M
117,Kava,KAVA,$0.4208,3.69%,$455.7M
118,Dog (Bitcoin),DOG,$0.004474,2.07%,$447.43M
119,Grass,GRASS,$1.80,-6.12%,$440.71M
120,Aethir,ATH,$0.04816,-9.29%,$437.59M
121,MultiversX,EGLD,$15.20,-5.90%,$429.77M
122,Aerodrome Finance,AERO,$0.5194,-2.98%,$429.25M
123,AIOZ Network,AIOZ,$0.3598,-7.90%,$424.49M
124,APENFT,NFT,$0.064230,-0.74%,$423.07M
125,Arweave,AR,$6.39,-7.57%,$419.98M
126,dYdX,DYDX,$0.5355,-7.57%,$415.95M
127,Neo,NEO,$5.84,-5.50%,$412.42M
128,Starknet,STRK,$0.1325,-6.87%,$411.99M
129,Reserve Rights,RSR,$0.007121,-3.94%,$410.08M
130,Axie Infinity,AXS,$2.53,-4.67%,$409.69M
131,eCash,XEC,$0.00002052,-2.67%,$407.81M
132,Livepeer,LPT,$9.64,-23.40%,$395.97M
133,EigenLayer,EIGEN,$1.30,-13.66%,$397.01M
134,SuperVerse,SUPER,$0.6666,-4.83%,$394.51M
135,Ronin,RON,$0.5985,-4.57%,$391.58M
136,Maple Finance,SYRUP,$0.3480,-3.02%,$385.99M
137,USDD,USDD,$1.00,0.06%,$382.6M
138,Conflux,CFX,$0.07528,-6.55%,$382.04M
139,Chiliz,CHZ,$0.03873,-3.57%,$373.05M
140,Compound,COMP,$40.75,-1.63%,$370.19M
141,Mog Coin,MOG,$0.069373,-8.12%,$366.08M
142,ether.fi,ETHFI,$1.11,-10.04%,$366.44M
143,FTX Token,FTT,$1.10,-7.74%,$363.45M
144,Sun [New],SUN,$0.01878,-2.33%,$361.82M
145,Morpho,MORPHO,$1.31,-2.38%,$360.33M
